Alleria - Q-learning simulation extreme-100,0
# Considering highest performance at 8,8
# Noise level 0
# performance given 100 for going close to 8,8 and 0 otherwise
# START STATE : 2,4


Action array: 1, 1, 1, 1, 1
Q is: 
(T,B)	None	T++	T--	B++	B--
(1,7)	10	10	10	10	10	
(1,8)	10	10	10	10	10	
(2,0)	10	10	10	10	10	
(2,1)	10	10	10	10	10	
(2,2)	10	10	10	10	10	
(2,3)	10	10	10	10	10	
(2,4)	10	10	10	10	10	
(2,5)	10	10	10	10	10	
(2,6)	10	10	10	10	10	
(2,7)	10	10	10	10	10	
(2,8)	10	10	10	10	10	
(3,0)	10	10	10	10	10	
(3,1)	10	10	10	10	10	
(3,2)	10	10	10	10	10	
(3,3)	10	10	10	10	10	
(3,4)	10	10	10	10	10	
(3,5)	10	10	10	10	10	
(3,6)	10	10	10	10	10	
(3,7)	10	10	10	10	10	
(3,8)	10	10	10	10	10	
(4,0)	10	10	10	10	10	
(4,1)	10	10	10	10	10	
(4,2)	10	10	10	10	10	
(4,3)	10	10	10	10	10	
(4,4)	10	10	10	10	10	
(4,5)	10	10	10	10	10	
(4,6)	10	10	10	10	10	
(4,7)	10	10	10	10	10	
(4,8)	10	10	10	10	10	
(5,0)	10	10	10	10	10	
(5,1)	10	10	10	10	10	
(5,2)	10	10	10	10	10	
(5,3)	10	10	10	10	10	
(5,4)	10	10	10	10	10	
(5,5)	10	10	10	10	10	
(5,6)	10	10	10	10	10	
(5,7)	10	10	10	10	10	
(5,8)	10	10	10	10	10	
(6,0)	10	10	10	10	10	
(6,1)	10	10	10	10	10	
(6,2)	10	10	10	10	10	
(6,3)	10	10	10	10	10	
(6,4)	10	10	10	10	10	
(6,5)	10	10	10	10	10	
(6,6)	10	10	10	10	10	
(6,7)	10	10	10	10	10	
(6,8)	10	10	10	10	10	
(7,0)	10	10	10	10	10	
(7,1)	10	10	10	10	10	
(7,2)	10	10	10	10	10	
(7,3)	10	10	10	10	10	
(7,4)	10	10	10	10	10	
(7,5)	10	10	10	10	10	
(7,6)	10	10	10	10	10	
(7,7)	10	10	10	10	10	
(7,8)	10	10	10	10	10	
(8,0)	10	10	10	10	10	
(8,1)	10	10	10	10	10	
(8,2)	10	10	10	10	10	
(8,3)	10	10	10	10	10	
(8,4)	10	10	10	10	10	
(8,5)	10	10	10	10	10	
(8,6)	10	10	10	10	10	
(8,7)	10	10	10	10	10	
(8,8)	10	10	10	10	10	
Action: Buffer ++
Number of threads: 2
Number of buffers: 5
New Performance: 100
Action array: 1, 1, 1, 1, 1
Q is: 
(T,B)	None	T++	T--	B++	B--
(0,0)	10	10	10	10	10	
(0,1)	10	10	10	10	10	
(0,2)	10	10	10	10	10	
(0,3)	10	10	10	10	10	
(0,4)	10	10	10	10	10	
(0,5)	10	10	10	10	10	
(0,6)	10	10	10	10	10	
(0,7)	10	10	10	10	10	
(0,8)	10	10	10	10	10	
(1,0)	10	10	10	10	10	
(1,1)	10	10	10	10	10	
(1,2)	10	10	10	10	10	
(1,3)	10	10	10	10	10	
(1,4)	10	10	10	10	10	
(1,5)	10	10	10	10	10	
(1,6)	10	10	10	10	10	
(1,7)	10	10	10	10	10	
(1,8)	10	10	10	10	10	
(2,0)	10	10	10	10	10	
(2,1)	10	10	10	10	10	
(2,2)	10	10	10	10	10	
(2,3)	10	10	10	10	10	
(2,4)	10	10	10	17.8	10	
(2,5)	10	10	10	10	10	
(2,6)	10	10	10	10	10	
(2,7)	10	10	10	10	10	
(2,8)	10	10	10	10	10	
(3,0)	10	10	10	10	10	
(3,1)	10	10	10	10	10	
(3,2)	10	10	10	10	10	
(3,3)	10	10	10	10	10	
(3,4)	10	10	10	10	10	
(3,5)	10	10	10	10	10	
(3,6)	10	10	10	10	10	
(3,7)	10	10	10	10	10	
(3,8)	10	10	10	10	10	
(4,0)	10	10	10	10	10	
(4,1)	10	10	10	10	10	
(4,2)	10	10	10	10	10	
(4,3)	10	10	10	10	10	
(4,4)	10	10	10	10	10	
(4,5)	10	10	10	10	10	
(4,6)	10	10	10	10	10	
(4,7)	10	10	10	10	10	
(4,8)	10	10	10	10	10	
(5,0)	10	10	10	10	10	
(5,1)	10	10	10	10	10	
(5,2)	10	10	10	10	10	
(5,3)	10	10	10	10	10	
(5,4)	10	10	10	10	10	
(5,5)	10	10	10	10	10	
(5,6)	10	10	10	10	10	
(5,7)	10	10	10	10	10	
(5,8)	10	10	10	10	10	
(6,0)	10	10	10	10	10	
(6,1)	10	10	10	10	10	
(6,2)	10	10	10	10	10	
(6,3)	10	10	10	10	10	
(6,4)	10	10	10	10	10	
(6,5)	10	10	10	10	10	
(6,6)	10	10	10	10	10	
(6,7)	10	10	10	10	10	
(6,8)	10	10	10	10	10	
(7,0)	10	10	10	10	10	
(7,1)	10	10	10	10	10	
(7,2)	10	10	10	10	10	
(7,3)	10	10	10	10	10	
(7,4)	10	10	10	10	10	
(7,5)	10	10	10	10	10	
(7,6)	10	10	10	10	10	
(7,7)	10	10	10	10	10	
(7,8)	10	10	10	10	10	
(8,0)	10	10	10	10	10	
(8,1)	10	10	10	10	10	
(8,2)	10	10	10	10	10	
(8,3)	10	10	10	10	10	
(8,4)	10	10	10	10	10	
(8,5)	10	10	10	10	10	
(8,6)	10	10	10	10	10	
(8,7)	10	10	10	10	10	
(8,8)	10	10	10	10	10	
Action: Threads ++
Number of threads: 3
Number of buffers: 5
New Performance: 100
Action array: 1, 1, 1, 1, 1
Q is: 
(T,B)	None	T++	T--	B++	B--
(0,0)	10	10	10	10	10	
(0,1)	10	10	10	10	10	
(0,2)	10	10	10	10	10	
(0,3)	10	10	10	10	10	
(0,4)	10	10	10	10	10	
(0,5)	10	10	10	10	10	
(0,6)	10	10	10	10	10	
(0,7)	10	10	10	10	10	
(0,8)	10	10	10	10	10	
(1,0)	10	10	10	10	10	
(1,1)	10	10	10	10	10	
(1,2)	10	10	10	10	10	
(1,3)	10	10	10	10	10	
(1,4)	10	10	10	10	10	
(1,5)	10	10	10	10	10	
(1,6)	10	10	10	10	10	
(1,7)	10	10	10	10	10	
(1,8)	10	10	10	10	10	
(2,0)	10	10	10	10	10	
(2,1)	10	10	10	10	10	
(2,2)	10	10	10	10	10	
(2,3)	10	10	10	10	10	
(2,4)	10	10	10	17.8	10	
(2,5)	10	9.8	10	10	10	
(2,6)	10	10	10	10	10	
(2,7)	10	10	10	10	10	
(2,8)	10	10	10	10	10	
(3,0)	10	10	10	10	10	
(3,1)	10	10	10	10	10	
(3,2)	10	10	10	10	10	
(3,3)	10	10	10	10	10	
(3,4)	10	10	10	10	10	
